pT[GeV/c],50-60,50-60err,60-70,60-70err,70-80,70-80err,80-92,80-92err
0.25,4.10e+01,3.4e-01,2.19e+01,1.9e-01,1.03e+01,9.2e-02,5.20e+00,5.0e-02
0.35,2.17e+01,1.9e-01,1.13e+01,1.0e-01,5.27e+00,5.0e-02,2.75e+00,2.8e-02
0.45,1.24e+01,1.1e-01,6.37e+00,6.0e-02,2.95e+00,3.1e-02,1.49e+00,1.8e-02
0.55,7.20e+00,7.0e-02,3.65e+00,3.8e-02,1.62e+00,1.9e-02,8.20e-01,1.1e-02
0.65,4.33e+00,4.7e-02,2.18e+00,2.6e-02,9.63e-01,1.3e-02,4.72e-01,8.1e-03
0.75,2.78e+00,3.4e-02,1.36e+00,1.9e-02,5.91e-01,9.9e-03,2.69e-01,5.9e-03
0.85,1.67e+00,2.3e-02,8.36e-01,1.3e-02,3.53e-01,7.1e-03,1.63e-01,4.4e-03
0.95,1.11e+00,1.7e-02,5.29e-01,9.6e-03,2.22e-01,5.4e-03,1.02e-01,3.4e-03
1.05,7.11e-01,1.2e-02,3.51e-01,7.3e-03,1.41e-01,4.1e-03,6.51e-02,2.6e-03
1.15,4.71e-01,9.2e-03,2.21e-01,5.4e-03,1.01e-01,3.4e-03,4.48e-02,2.2e-03
1.25,3.14e-01,6.9e-03,1.51e-01,4.3e-03,6.06e-02,2.5e-03,2.63e-02,1.6e-03
1.35,2.31e-01,5.8e-03,1.10e-01,3.6e-03,4.25e-02,2.1e-03,2.07e-02,1.5e-03
1.45,1.59e-01,4.6e-03,7.17e-02,2.8e-03,3.04e-02,1.8e-03,1.30e-02,1.1e-03
1.55,1.02e-01,3.4e-03,4.72e-02,2.2e-03,1.89e-02,1.3e-03,8.48e-03,8.8e-04
1.65,7.47e-02,2.8e-03,3.50e-02,1.8e-03,1.52e-02,1.2e-03,7.00e-03,8.1e-04
1.75,5.60e-02,2.4e-03,2.63e-02,1.6e-03,1.03e-02,1.0e-03,5.37e-03,7.1e-04
1.85,3.80e-02,2.0e-03,1.92e-02,1.3e-03,8.04e-03,8.7e-04,3.87e-03,6.0e-04
1.95,2.86e-02,1.7e-03,1.41e-02,1.2e-03,6.06e-03,7.6e-04,2.26e-03,4.6e-04
2.05,2.26e-02,1.2e-03,1.12e-02,8.4e-04,4.34e-03,5.3e-04,1.56e-03,3.1e-04
2.15,1.60e-02,1.0e-03,6.73e-03,6.6e-04,3.09e-03,4.5e-04,1.23e-03,2.8e-04
2.25,1.13e-02,8.6e-04,5.46e-03,5.9e-04,2.43e-03,4.0e-04,8.48e-04,2.3e-04
2.35,9.73e-03,8.5e-04,4.42e-03,5.7e-04,1.98e-03,3.9e-04,8.16e-04,2.5e-04
2.45,7.73e-03,7.8e-04,3.27e-03,5.0e-04,1.30e-03,3.2e-04,3.19e-04,1.6e-04
2.55,5.77e-03,7.2e-04,3.38e-03,5.5e-04,1.17e-03,3.3e-04,5.92e-04,2.3e-04
2.65,4.48e-03,6.7e-04,2.82e-03,5.2e-04,5.70e-04,2.4e-04,3.37e-04,1.8e-04
2.75,3.84e-03,6.7e-04,1.72e-03,4.4e-04,8.51e-04,3.2e-04,4.22e-04,2.2e-04
2.85,2.30e-03,5.2e-04,1.35e-03,4.0e-04,6.79e-04,2.9e-04,1.65e-04,1.4e-04
2.95,2.16e-03,5.5e-04,1.16e-03,4.0e-04,2.88e-04,2.0e-04,1.90e-04,1.6e-04
